"Time (s)","Illuminance (lx)"
1.608116063E1,4.569600000E4
1.616109172E1,4.544100000E4
1.620104778E1,4.406300000E4
1.624100200E1,4.297200000E4
1.628096270E1,4.250800000E4
1.632091598E1,4.282100000E4
1.636088411E1,4.341300000E4
1.640084973E1,4.478300000E4
1.644079813E1,4.507200000E4
1.652070438E1,4.550500000E4
1.656065266E1,4.468200000E4
1.660060629E1,4.375600000E4
1.664058192E1,4.362600000E4
1.668055004E1,4.398800000E4
1.672052481E1,4.304400000E4
1.676049086E1,4.153100000E4
1.680046071E1,4.136400000E4
1.684043067E1,3.900600000E4
1.692040801E1,4.071300000E4
1.696039336E1,4.171900000E4
1.700037879E1,4.183800000E4
1.704037387E1,4.204200000E4
1.708036532E1,4.212000000E4
1.712033805E1,4.170900000E4
1.716031618E1,4.178900000E4
1.720026266E1,4.180500000E4
1.724021106E1,4.171900000E4
1.728018184E1,4.156100000E4
1.732015626E1,4.151700000E4
1.736014090E1,4.158100000E4
1.740011278E1,4.156000000E4
1.744007762E1,4.258400000E4
1.748002473E1,4.265300000E4
1.751997778E1,4.328400000E4
1.755994126E1,4.356500000E4
1.759990739E1,4.319800000E4
1.763986848E1,4.339800000E4
1.767983348E1,4.340700000E4
1.771979837E1,4.311100000E4
1.775975833E1,4.391600000E4
1.779972747E1,4.337800000E4
1.783970055E1,4.281400000E4
1.791960645E1,4.321300000E4
1.795956161E1,4.308700000E4
1.799953563E1,4.354500000E4
1.807945657E1,4.387700000E4
1.811940555E1,4.380300000E4
1.815936376E1,4.353100000E4
1.819932551E1,4.335500000E4
1.823928520E1,4.375400000E4
1.827924907E1,4.335000000E4
1.831919790E1,4.360600000E4
1.835914817E1,4.357100000E4
1.843907450E1,4.322200000E4
1.847902219E1,4.322600000E4
1.851897962E1,4.270200000E4
1.855894333E1,4.240800000E4
1.859890719E1,4.220800000E4
1.863885610E1,4.237300000E4
1.867880129E1,4.225900000E4
1.871875297E1,4.261700000E4
1.875870004E1,4.314500000E4
1.879865231E1,4.346100000E4
1.883860731E1,4.360600000E4
1.887855899E1,4.346100000E4
1.891851563E1,4.344000000E4
1.895847758E1,4.334400000E4
1.899843848E1,4.314200000E4
1.903838317E1,4.310300000E4
1.907832684E1,4.320200000E4
1.911829360E1,4.310900000E4
1.915824528E1,4.290400000E4
1.919820918E1,4.279100000E4
1.923816059E1,4.269600000E4
1.927811059E1,4.259400000E4
1.931805813E1,4.319300000E4
1.935801102E1,4.341600000E4
1.943791836E1,4.319900000E4
1.951784817E1,4.257700000E4
1.955779864E1,4.229900000E4
1.963771083E1,4.196900000E4
1.971764872E1,4.191800000E4
1.975762876E1,4.219300000E4
1.979760649E1,4.261500000E4
1.987753446E1,4.275300000E4
1.991747915E1,4.218200000E4
1.995742094E1,4.142800000E4
1.999735590E1,4.173100000E4
